phase,label,overrides,program,result,commits,cycles,ipc,redirects,icache_hit,icache_miss,dcache_hit,dcache_miss,study_geomean,big6_geomean
OAT,OAT/DCACHE_SETS=32,"{""DCACHE_SETS"": 32}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_SETS=32,"{""DCACHE_SETS"": 32}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DCACHE_SETS=32,"{""DCACHE_SETS"": 32}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DCACHE_SETS=32,"{""DCACHE_SETS"": 32}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_SETS=32,"{""DCACHE_SETS"": 32}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DCACHE_SETS=32,"{""DCACHE_SETS"": 32}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DCACHE_SETS=32,"{""DCACHE_SETS"": 32}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DCACHE_SETS=64,"{""DCACHE_SETS"": 64}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_SETS=64,"{""DCACHE_SETS"": 64}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DCACHE_SETS=64,"{""DCACHE_SETS"": 64}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DCACHE_SETS=64,"{""DCACHE_SETS"": 64}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_SETS=64,"{""DCACHE_SETS"": 64}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DCACHE_SETS=64,"{""DCACHE_SETS"": 64}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DCACHE_SETS=64,"{""DCACHE_SETS"": 64}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=2,"{""DCACHE_WAYS"": 2}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=2,"{""DCACHE_WAYS"": 2}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=2,"{""DCACHE_WAYS"": 2}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=2,"{""DCACHE_WAYS"": 2}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=2,"{""DCACHE_WAYS"": 2}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=2,"{""DCACHE_WAYS"": 2}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=2,"{""DCACHE_WAYS"": 2}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=4,"{""DCACHE_WAYS"": 4}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=4,"{""DCACHE_WAYS"": 4}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=4,"{""DCACHE_WAYS"": 4}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=4,"{""DCACHE_WAYS"": 4}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=4,"{""DCACHE_WAYS"": 4}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=4,"{""DCACHE_WAYS"": 4}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=4,"{""DCACHE_WAYS"": 4}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=8,"{""DCACHE_WAYS"": 8}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=8,"{""DCACHE_WAYS"": 8}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=8,"{""DCACHE_WAYS"": 8}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=8,"{""DCACHE_WAYS"": 8}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=8,"{""DCACHE_WAYS"": 8}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=8,"{""DCACHE_WAYS"": 8}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DCACHE_WAYS=8,"{""DCACHE_WAYS"": 8}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ICACHE_SETS=8,"{""ICACHE_SETS"": 8}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_SETS=8,"{""ICACHE_SETS"": 8}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ICACHE_SETS=8,"{""ICACHE_SETS"": 8}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ICACHE_SETS=8,"{""ICACHE_SETS"": 8}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_SETS=8,"{""ICACHE_SETS"": 8}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ICACHE_SETS=8,"{""ICACHE_SETS"": 8}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ICACHE_SETS=8,"{""ICACHE_SETS"": 8}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ICACHE_SETS=16,"{""ICACHE_SETS"": 16}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_SETS=16,"{""ICACHE_SETS"": 16}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ICACHE_SETS=16,"{""ICACHE_SETS"": 16}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ICACHE_SETS=16,"{""ICACHE_SETS"": 16}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_SETS=16,"{""ICACHE_SETS"": 16}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ICACHE_SETS=16,"{""ICACHE_SETS"": 16}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ICACHE_SETS=16,"{""ICACHE_SETS"": 16}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ICACHE_SETS=32,"{""ICACHE_SETS"": 32}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_SETS=32,"{""ICACHE_SETS"": 32}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ICACHE_SETS=32,"{""ICACHE_SETS"": 32}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ICACHE_SETS=32,"{""ICACHE_SETS"": 32}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_SETS=32,"{""ICACHE_SETS"": 32}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ICACHE_SETS=32,"{""ICACHE_SETS"": 32}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ICACHE_SETS=32,"{""ICACHE_SETS"": 32}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ICACHE_SETS=64,"{""ICACHE_SETS"": 64}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_SETS=64,"{""ICACHE_SETS"": 64}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ICACHE_SETS=64,"{""ICACHE_SETS"": 64}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ICACHE_SETS=64,"{""ICACHE_SETS"": 64}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_SETS=64,"{""ICACHE_SETS"": 64}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ICACHE_SETS=64,"{""ICACHE_SETS"": 64}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ICACHE_SETS=64,"{""ICACHE_SETS"": 64}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=2,"{""ICACHE_WAYS"": 2}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=2,"{""ICACHE_WAYS"": 2}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=2,"{""ICACHE_WAYS"": 2}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=2,"{""ICACHE_WAYS"": 2}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=2,"{""ICACHE_WAYS"": 2}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=2,"{""ICACHE_WAYS"": 2}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=2,"{""ICACHE_WAYS"": 2}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=4,"{""ICACHE_WAYS"": 4}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=4,"{""ICACHE_WAYS"": 4}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=4,"{""ICACHE_WAYS"": 4}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=4,"{""ICACHE_WAYS"": 4}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=4,"{""ICACHE_WAYS"": 4}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=4,"{""ICACHE_WAYS"": 4}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=4,"{""ICACHE_WAYS"": 4}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=8,"{""ICACHE_WAYS"": 8}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=8,"{""ICACHE_WAYS"": 8}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=8,"{""ICACHE_WAYS"": 8}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=8,"{""ICACHE_WAYS"": 8}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=8,"{""ICACHE_WAYS"": 8}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=8,"{""ICACHE_WAYS"": 8}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ICACHE_WAYS=8,"{""ICACHE_WAYS"": 8}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=2,"{""DCACHE_MSHR"": 2}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=2,"{""DCACHE_MSHR"": 2}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=2,"{""DCACHE_MSHR"": 2}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=2,"{""DCACHE_MSHR"": 2}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=2,"{""DCACHE_MSHR"": 2}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=2,"{""DCACHE_MSHR"": 2}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=2,"{""DCACHE_MSHR"": 2}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=4,"{""DCACHE_MSHR"": 4}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=4,"{""DCACHE_MSHR"": 4}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=4,"{""DCACHE_MSHR"": 4}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=4,"{""DCACHE_MSHR"": 4}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=4,"{""DCACHE_MSHR"": 4}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=4,"{""DCACHE_MSHR"": 4}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=4,"{""DCACHE_MSHR"": 4}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=8,"{""DCACHE_MSHR"": 8}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=8,"{""DCACHE_MSHR"": 8}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=8,"{""DCACHE_MSHR"": 8}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=8,"{""DCACHE_MSHR"": 8}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=8,"{""DCACHE_MSHR"": 8}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=8,"{""DCACHE_MSHR"": 8}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DCACHE_MSHR=8,"{""DCACHE_MSHR"": 8}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=1,"{""ICACHE_MSHR"": 1}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=1,"{""ICACHE_MSHR"": 1}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=1,"{""ICACHE_MSHR"": 1}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=1,"{""ICACHE_MSHR"": 1}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=1,"{""ICACHE_MSHR"": 1}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=1,"{""ICACHE_MSHR"": 1}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=1,"{""ICACHE_MSHR"": 1}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=2,"{""ICACHE_MSHR"": 2}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=2,"{""ICACHE_MSHR"": 2}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=2,"{""ICACHE_MSHR"": 2}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=2,"{""ICACHE_MSHR"": 2}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=2,"{""ICACHE_MSHR"": 2}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=2,"{""ICACHE_MSHR"": 2}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=2,"{""ICACHE_MSHR"": 2}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=4,"{""ICACHE_MSHR"": 4}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=4,"{""ICACHE_MSHR"": 4}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=4,"{""ICACHE_MSHR"": 4}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=4,"{""ICACHE_MSHR"": 4}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=4,"{""ICACHE_MSHR"": 4}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=4,"{""ICACHE_MSHR"": 4}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/ICACHE_MSHR=4,"{""ICACHE_MSHR"": 4}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=2,"{""DRAM_OUTSTANDING"": 2}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=2,"{""DRAM_OUTSTANDING"": 2}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=2,"{""DRAM_OUTSTANDING"": 2}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=2,"{""DRAM_OUTSTANDING"": 2}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=2,"{""DRAM_OUTSTANDING"": 2}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=2,"{""DRAM_OUTSTANDING"": 2}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=2,"{""DRAM_OUTSTANDING"": 2}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=4,"{""DRAM_OUTSTANDING"": 4}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=4,"{""DRAM_OUTSTANDING"": 4}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=4,"{""DRAM_OUTSTANDING"": 4}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=4,"{""DRAM_OUTSTANDING"": 4}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=4,"{""DRAM_OUTSTANDING"": 4}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=4,"{""DRAM_OUTSTANDING"": 4}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=4,"{""DRAM_OUTSTANDING"": 4}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=8,"{""DRAM_OUTSTANDING"": 8}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=8,"{""DRAM_OUTSTANDING"": 8}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=8,"{""DRAM_OUTSTANDING"": 8}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=8,"{""DRAM_OUTSTANDING"": 8}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=8,"{""DRAM_OUTSTANDING"": 8}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=8,"{""DRAM_OUTSTANDING"": 8}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DRAM_OUTSTANDING=8,"{""DRAM_OUTSTANDING"": 8}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DCACHE_UFP_PORTS=1,"{""DCACHE_UFP_PORTS"": 1}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.515439,0.531636
OAT,OAT/DCACHE_UFP_PORTS=1,"{""DCACHE_UFP_PORTS"": 1}",custom_riscv,PASS,12906,26152,0.493500,48,5194,8,5138,26,0.515439,0.531636
OAT,OAT/DCACHE_UFP_PORTS=1,"{""DCACHE_UFP_PORTS"": 1}",riscv_mem,PASS,8950,18173,0.492489,61,3312,9,3386,26,0.515439,0.531636
OAT,OAT/DCACHE_UFP_PORTS=1,"{""DCACHE_UFP_PORTS"": 1}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.515439,0.531636
OAT,OAT/DCACHE_UFP_PORTS=1,"{""DCACHE_UFP_PORTS"": 1}",matmul8,PASS,7780,13696,0.568049,85,2715,5,1066,24,0.515439,0.531636
OAT,OAT/DCACHE_UFP_PORTS=1,"{""DCACHE_UFP_PORTS"": 1}",mem_stream,PASS,98568,165079,0.597096,146,32977,3,32738,32,0.515439,0.531636
OAT,OAT/DCACHE_UFP_PORTS=1,"{""DCACHE_UFP_PORTS"": 1}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.515439,0.531636
OAT,OAT/DCACHE_UFP_PORTS=2,"{""DCACHE_UFP_PORTS"": 2}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_UFP_PORTS=2,"{""DCACHE_UFP_PORTS"": 2}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DCACHE_UFP_PORTS=2,"{""DCACHE_UFP_PORTS"": 2}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DCACHE_UFP_PORTS=2,"{""DCACHE_UFP_PORTS"": 2}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DCACHE_UFP_PORTS=2,"{""DCACHE_UFP_PORTS"": 2}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DCACHE_UFP_PORTS=2,"{""DCACHE_UFP_PORTS"": 2}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DCACHE_UFP_PORTS=2,"{""DCACHE_UFP_PORTS"": 2}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/MSHR_WAITERS=2,"{""MSHR_WAITERS"": 2}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/MSHR_WAITERS=2,"{""MSHR_WAITERS"": 2}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/MSHR_WAITERS=2,"{""MSHR_WAITERS"": 2}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/MSHR_WAITERS=2,"{""MSHR_WAITERS"": 2}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/MSHR_WAITERS=2,"{""MSHR_WAITERS"": 2}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
