phase,label,overrides,program,result,commits,cycles,ipc,redirects,icache_hit,icache_miss,dcache_hit,dcache_miss,study_geomean,big6_geomean
OAT,OAT/DIV_STAGES=5,"{""DIV_STAGES"": 5}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DIV_STAGES=5,"{""DIV_STAGES"": 5}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DIV_STAGES=5,"{""DIV_STAGES"": 5}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DIV_STAGES=5,"{""DIV_STAGES"": 5}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DIV_STAGES=10,"{""DIV_STAGES"": 10}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DIV_STAGES=10,"{""DIV_STAGES"": 10}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DIV_STAGES=10,"{""DIV_STAGES"": 10}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DIV_STAGES=10,"{""DIV_STAGES"": 10}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DIV_STAGES=10,"{""DIV_STAGES"": 10}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DIV_STAGES=10,"{""DIV_STAGES"": 10}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DIV_STAGES=10,"{""DIV_STAGES"": 10}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/DIV_STAGES=15,"{""DIV_STAGES"": 15}",branch,PASS,8200,19154,0.428109,540,3612,3,0,0,0.522264,0.539857
OAT,OAT/DIV_STAGES=15,"{""DIV_STAGES"": 15}",custom_riscv,PASS,12906,26151,0.493518,48,5194,8,5133,26,0.522264,0.539857
OAT,OAT/DIV_STAGES=15,"{""DIV_STAGES"": 15}",riscv_mem,PASS,8950,16579,0.539840,61,3294,9,3197,26,0.522264,0.539857
OAT,OAT/DIV_STAGES=15,"{""DIV_STAGES"": 15}",ilp_loop,PASS,40969,61562,0.665492,12,12299,3,0,0,0.522264,0.539857
OAT,OAT/DIV_STAGES=15,"{""DIV_STAGES"": 15}",matmul8,PASS,7780,13693,0.568174,85,2715,5,1065,24,0.522264,0.539857
OAT,OAT/DIV_STAGES=15,"{""DIV_STAGES"": 15}",mem_stream,PASS,98568,165076,0.597107,146,32977,3,32737,32,0.522264,0.539857
OAT,OAT/DIV_STAGES=15,"{""DIV_STAGES"": 15}",mix_bench,PASS,47269,114854,0.411557,6132,22546,4,8176,16,0.522264,0.539857
OAT,OAT/PHT_SIZE=256,"{""PHT_SIZE"": 256}",branch,PASS,8200,19137,0.428489,537,3609,3,0,0,0.522850,0.540485
